data_type,record_id,city,region,latitude,longitude,category,product,price_bdt,units_sold,sales_amount,date,store_size,customer_rating,salesperson,coverage_value,outlets_visited,duration_hours,outlet_type,outlet_size,priority_score,potential_monthly_value,days_since_contact,no_order_reason,assigned_salesperson,brand,coverage_score,num_outlets,market_share,visit_count,total_outlets,unique_salespersons,intensity_score,from_city,to_city,from_region,to_region,from_latitude,from_longitude,to_latitude,to_longitude,distance_km,generated_at
sales,SALE0001,Rangpur,North,25.776284,89.366582,Sports,Dumbbell Set,4148.0,4.0,16592.0,2025-05-17,Small,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0002,Chattogram,Central,22.435861,91.829246,Electronics,Laptop,96696.0,95.0,9186120.0,2024-12-29,Small,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0003,Dhaka,Central,23.786826,90.445054,Sports,Football,1476.0,12.0,17712.0,2025-06-15,Small,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0004,Chattogram,Central,22.368998,91.668403,Furniture,Office Chair,41781.0,26.0,1086306.0,2024-11-06,Large,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0005,Barishal,South,22.650358,90.372355,Furniture,Table,34439.0,76.0,2617364.0,2025-05-15,Small,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0006,Khulna,West,22.918882,89.526753,Clothing,Jeans,3159.0,55.0,173745.0,2025-04-13,Medium,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0007,Chattogram,Central,22.329681,91.789855,Clothing,Handbag,1678.0,14.0,23492.0,2025-08-18,Medium,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0008,Saidpur,North,25.769968,88.982498,Electronics,Camera,87131.0,34.0,2962454.0,2025-09-12,Large,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0009,Brahmanbaria,East,23.966025,91.036537,Clothing,T-Shirt,1850.0,11.0,20350.0,2024-12-26,Medium,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0010,Dhaka,Central,23.851427,90.339249,Sports,Yoga Mat,12350.0,74.0,913900.0,2025-06-28,Large,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0011,Khulna,West,22.779191,89.552112,Grocery,Honey (500g),273.0,99.0,27027.0,2025-05-09,Small,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0012,Habiganj,East,24.411923,91.426982,HomeAppliances,Refrigerator,26911.0,36.0,968796.0,2025-02-14,Large,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0013,Dhaka,Central,23.804518,90.394434,Furniture,Table,29260.0,46.0,1345960.0,2025-06-19,Large,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0014,Rangpur,North,25.720868,89.338627,Furniture,Wardrobe,47469.0,10.0,474690.0,2024-11-27,Large,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0015,Khulna,West,22.861804,89.517195,Grocery,Honey (500g),290.0,21.0,6090.0,2025-02-10,Medium,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0016,Dhaka,Central,23.776454,90.449201,Sports,Dumbbell Set,23049.0,72.0,1659528.0,2025-06-14,Large,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0017,Dhaka,Central,23.86185,90.468377,Beauty,Perfume,2076.0,5.0,10380.0,2025-04-26,Medium,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0018,Feni,East,22.978039,91.391447,Electronics,Tablet,82341.0,92.0,7575372.0,2025-04-26,Small,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0019,Nilphamari,North,25.909341,88.83886,Grocery,Milk Powder (400g),698.0,59.0,41182.0,2025-07-23,Medium,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0020,Khulna,West,22.886226,89.621674,Clothing,Sunglasses,2599.0,69.0,179331.0,2025-05-23,Large,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0021,Panchagarh,North,26.348082,88.511293,Clothing,Shoes,1935.0,47.0,90945.0,2025-06-14,Small,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0022,Satkhira,West,22.698209,89.163879,Grocery,Rice (5kg),88.0,15.0,1320.0,2025-07-18,Large,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0023,Cox's Bazar,East,21.431552,91.98786,Clothing,Sunglasses,2029.0,77.0,156233.0,2025-09-02,Medium,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0024,Khulna,West,22.834616,89.561727,Clothing,Dress,2467.0,33.0,81411.0,2024-12-25,Small,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0025,Barishal,South,22.660575,90.323395,HomeAppliances,Refrigerator,37190.0,97.0,3607430.0,2025-05-21,Large,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0026,Patuakhali,South,22.39997,90.337825,Beauty,Shampoo,3761.0,21.0,78981.0,2025-02-14,Small,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0027,Jhenaidah,West,23.546654,89.241419,Furniture,Wardrobe,22261.0,65.0,1446965.0,2025-07-05,Large,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0028,Manikganj,Central,23.824897,89.98034,Beauty,Face Mask,2644.0,82.0,216808.0,2025-01-18,Large,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0029,Sylhet,East,24.909706,91.884363,Clothing,Jacket,3423.0,21.0,71883.0,2025-01-01,Large,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0030,Dhaka,Central,23.739531,90.387261,Clothing,Shoes,1627.0,63.0,102501.0,2025-09-25,Small,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0031,Dhaka,Central,23.802236,90.436743,Clothing,Handbag,3604.0,40.0,144160.0,2025-06-04,Small,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0032,Cox's Bazar,East,21.440078,92.001333,Grocery,Tea (250g),120.0,11.0,1320.0,2025-01-29,Small,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
sales,SALE0033,Sunamganj,East,24.970761,91.398409,Furniture,Bookshelf,55189.0,17.0,938213.0,2025-07-31,Large,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-04T02:53:37.634184
