store_id,store_size,store_rating,beat_id,region,city,lat,lon,sale_date,category,product,price,units_sold,amount,customer_rating
N1-001,Small,3.5,N1,North,Rangpur,25.719645759181066,89.2502042095908,2025-06-01,Clothing,Jeans,2010.3627838491284,101,203046.64,3.1
N1-001,Small,3.5,N1,North,Rangpur,25.718529197277455,89.2475133864098,2025-09-18,Sports,Badminton Racket,10328.537282047058,33,340841.73,4.8
N1-001,Small,3.5,N1,North,Rangpur,25.72068727010986,89.24835640306434,2024-11-09,HomeAppliances,Electric Fan,8143.478389008695,21,171013.05,3.7
N1-001,Small,3.5,N1,North,Rangpur,25.723207743971876,89.2484851641222,2025-07-26,Grocery,Tea (250g),415.0720345161196,141,58525.16,3.8
N1-001,Small,3.5,N1,North,Rangpur,25.71907118373644,89.24893069180068,2024-12-03,Electronics,Power Bank,67260.80665110334,54,3632083.56,3.2
N1-001,Small,3.5,N1,North,Rangpur,25.718189450642214,89.25164735220832,2025-02-24,Electronics,Headphones,58817.05510887112,34,1999779.87,4.7
N1-001,Small,3.5,N1,North,Rangpur,25.724189196623218,89.24782461053684,2025-05-05,Electronics,Tablet,25117.9980775591,58,1456843.89,3.0
N1-001,Small,3.5,N1,North,Rangpur,25.716982183501855,89.25130116980692,2025-04-22,Beauty,Lipstick,293.48836345199504,74,21718.14,4.9
N1-001,Small,3.5,N1,North,Rangpur,25.7211557556179,89.24801910974983,2025-08-22,Grocery,Honey (500g),409.35275212062646,208,85145.37,3.5
N1-001,Small,3.5,N1,North,Rangpur,25.720392854836888,89.24923794341126,2024-11-28,Grocery,Milk Powder (400g),772.915808565666,241,186272.71,3.7
N1-001,Small,3.5,N1,North,Rangpur,25.722286019021485,89.24482222114085,2025-01-13,Electronics,Power Bank,21552.46993724576,35,754336.45,3.4
N1-001,Small,3.5,N1,North,Rangpur,25.718545299910616,89.24384419230213,2025-08-29,Sports,Dumbbell Set,15962.022453117423,17,271354.38,4.9
N1-001,Small,3.5,N1,North,Rangpur,25.718307030980533,89.24349038195717,2024-12-16,Beauty,Sunscreen,2468.820926296612,105,259226.2,3.9
N1-001,Small,3.5,N1,North,Rangpur,25.72624458395057,89.2435052525264,2025-03-02,Furniture,Bed,30686.356742017124,20,613727.13,3.8
N1-002,Large,3.7,N1,North,Rangpur,25.7674529099451,89.27895546977317,2025-04-14,Furniture,Dining Set,52391.989499403506,12,628703.87,3.6
N1-002,Large,3.7,N1,North,Rangpur,25.768470027591267,89.27524253667008,2025-05-30,Furniture,Dining Set,55779.60796018071,11,613575.69,5.0
N1-002,Large,3.7,N1,North,Rangpur,25.767823185721273,89.27687412636682,2025-09-27,Clothing,T-Shirt,3727.557837130072,109,406303.8,3.8
N1-002,Large,3.7,N1,North,Rangpur,25.76719684932667,89.28430982978342,2025-09-04,Grocery,Cooking Oil (1L),328.01957042245624,228,74788.46,5.0
N1-002,Large,3.7,N1,North,Rangpur,25.77265386811646,89.280528456283,2024-12-24,Clothing,Sunglasses,2958.1106185964063,67,198193.41,4.1
N1-002,Large,3.7,N1,North,Rangpur,25.768278035819474,89.27530544917211,2025-04-27,Furniture,Office Chair,7757.828549517446,12,93093.94,4.0
N1-002,Large,3.7,N1,North,Rangpur,25.76416564060624,89.28363952651613,2025-07-01,Grocery,Rice (5kg),492.22668090202103,201,98937.56,3.5
N1-002,Large,3.7,N1,North,Rangpur,25.76819460162209,89.28408371595219,2024-12-04,Electronics,Smartphone,77370.72915719554,40,3094829.17,3.4
N1-002,Large,3.7,N1,North,Rangpur,25.767539020192473,89.28402683669188,2025-04-27,Furniture,Table,19608.79818922446,6,117652.79,4.9
N1-002,Large,3.7,N1,North,Rangpur,25.768343118507783,89.27979550031532,2025-09-30,Clothing,Dress,2598.2892453244435,93,241640.9,3.3
N1-002,Large,3.7,N1,North,Rangpur,25.771304224013164,89.2817720526257,2025-04-09,Clothing,T-Shirt,3553.299897192808,82,291370.59,4.2
N1-002,Large,3.7,N1,North,Rangpur,25.76960066161643,89.28412595341409,2024-11-04,HomeAppliances,Washing Machine,2336.393607542792,24,56073.45,3.3
N1-002,Large,3.7,N1,North,Rangpur,25.765073071014836,89.27816545625276,2025-08-06,Furniture,Office Chair,45832.917618954925,11,504162.09,4.4
N1-002,Large,3.7,N1,North,Rangpur,25.76573357670649,89.2747721102657,2025-05-22,Clothing,Shoes,2107.567852952693,57,120131.37,4.5
N1-002,Large,3.7,N1,North,Rangpur,25.768575843114515,89.27585539218072,2024-11-12,Grocery,Sugar (1kg),162.80230196815347,161,26211.17,4.9
N1-002,Large,3.7,N1,North,Rangpur,25.764447712322443,89.27601110856764,2024-10-16,Electronics,Headphones,69106.1123910185,63,4353685.08,3.6
N1-002,Large,3.7,N1,North,Rangpur,25.77076793688548,89.28357800038934,2025-09-14,Grocery,Sugar (1kg),199.65816913821305,154,30747.36,3.8
N1-002,Large,3.7,N1,North,Rangpur,25.770965644765838,89.27650717707803,2024-11-21,Electronics,Headphones,111685.54812779033,37,4132365.28,3.8
N1-002,Large,3.7,N1,North,Rangpur,25.770317349855045,89.277218325786,2025-07-05,Electronics,Camera,95627.28756853475,38,3633836.93,3.3
