data_type,record_id,city,region,latitude,longitude,category,product,price_bdt,units_sold,sales_amount,date,store_size,customer_rating,salesperson,coverage_value,outlets_visited,duration_hours,outlet_type,outlet_size,priority_score,potential_monthly_value,days_since_contact,no_order_reason,assigned_salesperson,brand,coverage_score,num_outlets,market_share,visit_count,total_outlets,unique_salespersons,intensity_score,from_city,to_city,from_region,to_region,from_latitude,from_longitude,to_latitude,to_longitude,distance_km,generated_at,cluster,pc1,pc2
sales,SALE0001,Rangpur,North,25.776284,89.366582,Sports,Dumbbell Set,4148.0,4.0,16592.0,2025-05-19,Small,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,2,-1.1669620954961935,-1.4569966410914195
sales,SALE0002,Chattogram,Central,22.435861,91.829246,Electronics,Laptop,96696.0,95.0,9186120.0,2024-12-31,Small,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,1,5.290125030718493,0.531233617477834
sales,SALE0003,Dhaka,Central,23.786826,90.445054,Sports,Football,1476.0,12.0,17712.0,2025-06-17,Small,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,3,-1.1664771706728096,-0.38695272493575206
sales,SALE0004,Chattogram,Central,22.368998,91.668403,Furniture,Office Chair,41781.0,26.0,1086306.0,2024-11-08,Large,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,6,0.28205714075558247,-0.26527270549785864
sales,SALE0005,Barishal,South,22.650358,90.372355,Furniture,Table,34439.0,76.0,2617364.0,2025-05-17,Small,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,5,1.176662958500763,1.0509796030934708
sales,SALE0006,Khulna,West,22.918882,89.526753,Clothing,Jeans,3159.0,55.0,173745.0,2025-04-15,Medium,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,4,-0.6330803431290347,-0.9732670303750367
sales,SALE0007,Chattogram,Central,22.329681,91.789855,Clothing,Handbag,1678.0,14.0,23492.0,2025-08-20,Medium,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,2,-1.1174386558552374,-1.637083067234833
sales,SALE0008,Saidpur,North,25.769968,88.982498,Electronics,Camera,87131.0,34.0,2962454.0,2025-09-14,Large,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,6,2.1046498558697047,-0.7160373555531085
sales,SALE0009,Brahmanbaria,East,23.966025,91.036537,Clothing,T-Shirt,1850.0,11.0,20350.0,2024-12-28,Medium,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,3,-1.1868051366713959,0.7132962298990483
sales,SALE0010,Dhaka,Central,23.851427,90.339249,Sports,Yoga Mat,12350.0,74.0,913900.0,2025-06-30,Large,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,4,0.04702651137168706,-1.0982981879777693
sales,SALE0011,Khulna,West,22.779191,89.552112,Grocery,Honey (500g),273.0,99.0,27027.0,2025-05-11,Small,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,5,-0.36918710406283195,1.819414739970067
sales,SALE0012,Habiganj,East,24.411923,91.426982,HomeAppliances,Refrigerator,26911.0,36.0,968796.0,2025-02-16,Large,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,3,-0.01781323069582454,0.8959464029250812
sales,SALE0013,Dhaka,Central,23.804518,90.394434,Furniture,Table,29260.0,46.0,1345960.0,2025-06-21,Large,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,2,0.3108621506786337,-0.8996135813661977
sales,SALE0014,Rangpur,North,25.720868,89.338627,Furniture,Wardrobe,47469.0,10.0,474690.0,2024-11-29,Large,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,2,0.04337397212019646,-1.7762998064399642
sales,SALE0015,Khulna,West,22.861804,89.517195,Grocery,Honey (500g),290.0,21.0,6090.0,2025-02-12,Medium,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,2,-1.0962671546338894,-1.0645426552052033
sales,SALE0016,Dhaka,Central,23.776454,90.449201,Sports,Dumbbell Set,23049.0,72.0,1659528.0,2025-06-16,Large,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,4,0.5400848258498373,-0.3787140975712746
sales,SALE0017,Dhaka,Central,23.86185,90.468377,Beauty,Perfume,2076.0,5.0,10380.0,2025-04-28,Medium,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,2,-1.2091171879649276,-1.2738862549713514
sales,SALE0018,Feni,East,22.978039,91.391447,Electronics,Tablet,82341.0,92.0,7575372.0,2025-04-28,Small,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,1,4.317203917917941,0.7164338935735446
sales,SALE0019,Nilphamari,North,25.909341,88.83886,Grocery,Milk Powder (400g),698.0,59.0,41182.0,2025-07-25,Medium,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,4,-0.7006271902862257,-0.9111020676597521
sales,SALE0020,Khulna,West,22.886226,89.621674,Clothing,Sunglasses,2599.0,69.0,179331.0,2025-05-25,Large,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06T11:21:21.930749,5,-0.5340337249234963,0.6377216892771852
