outlet_id,city,latitude,longitude,region,category,product,price_bdt,units_sold,sales_amount,sale_date,store_size,customer_rating,returns,sales_per_unit
1,Rangpur,25.677187192917184,89.30071217477514,Rangpur,Electronics,Laptop,17355,79,1371045,2025-03-27,Large,4.48,2,17355.0
2,Saidpur,25.65365365109664,89.04827529800305,Saidpur,Electronics,Smartphone,110401,48,5299248,2025-05-23,Small,3.72,0,110401.0
3,Bandarban,22.16396167860487,92.19666450001654,Bandarban,Grocery,Honey (500g),337,166,55942,2024-10-10,Medium,4.1,3,337.0
4,Chattogram,22.329212056909547,91.78853258228068,Chattogram,Beauty,Shampoo,2378,59,140302,2025-01-26,Small,4.26,1,2378.0
5,Rangpur,25.79032202501002,89.23214866706697,Rangpur,Clothing,Jeans,1429,109,155761,2025-08-03,Medium,3.91,3,1429.0
6,Jamalpur,24.84964694860664,89.92526300993191,Jamalpur,Beauty,Face Cream,3136,52,163072,2024-10-10,Small,3.89,1,3136.0
7,Rangpur,25.687874229545276,89.33793665501231,Rangpur,Furniture,Table,8194,14,114716,2025-02-25,Small,3.62,0,8194.0
8,Jessore,23.267375229960486,89.265898646158,Jessore,Beauty,Face Mask,3095,51,157845,2024-11-08,Small,3.62,0,3095.0
9,Rajshahi,24.34810891208782,88.66097644923362,Rajshahi,Grocery,Rice (5kg),40,126,5040,2025-02-22,Small,3.85,2,40.0
10,Khagrachhari,23.112896329805686,91.80821480534433,Khagrachhari,Grocery,Honey (500g),392,54,21168,2025-06-14,Large,4.09,1,392.0
11,Dhaka,23.88452096437619,90.29838168922196,Dhaka,Grocery,Honey (500g),456,285,129960,2025-01-23,Medium,4.72,5,456.0
12,Chuadanga,23.71478302626539,88.81214335805572,Chuadanga,HomeAppliances,Washing Machine,8933,23,205459,2024-10-24,Medium,4.32,0,8933.0
13,Tangail,24.282180161942925,89.8468247254991,Tangail,Clothing,T-Shirt,3408,59,201072,2024-10-24,Large,3.94,1,3408.0
14,Sylhet,24.954929136465726,91.88089366898075,Sylhet,Furniture,Bookshelf,22985,14,321790,2025-06-11,Small,4.15,0,22985.0
15,Bhola,22.70368434839792,90.5928518865579,Bhola,Electronics,Bluetooth Speaker,27818,55,1529990,2024-12-20,Small,4.76,0,27818.0
16,Rajshahi,24.415633769938587,88.70077310689706,Rajshahi,Clothing,T-Shirt,2431,48,116688,2025-09-08,Medium,4.46,1,2431.0
17,Bogra,24.76561568396911,89.36393762751241,Bogra,HomeAppliances,Refrigerator,12099,18,217782,2025-02-14,Large,4.34,0,12099.0
18,Narayanganj,23.630383925827175,90.50375038487321,Narayanganj,Electronics,Laptop,39128,41,1604248,2025-08-12,Medium,3.23,1,39128.0
